Community_id,Density,Fraud_Density,Score,N_Nodes,N_Edges,N_Nodes_bins,N_Edges_bins,count,weight_count,type,pct
11,0.035959809624537285,0.02902757619738752,0.048386822899978005,62,68,Low,Low,20,0.0,part_of,0.0
11,0.035959809624537285,0.02902757619738752,0.048386822899978005,62,68,Low,Low,15,2.0,originated_at,13.333333333333334
11,0.035959809624537285,0.02902757619738752,0.048386822899978005,62,68,Low,Low,5,0.0,owns,0.0
12,0.0061338460130000915,0.005138105138105138,0.008359583569237782,331,335,Low,Low,98,0.0,part_of,0.0
12,0.0061338460130000915,0.005138105138105138,0.008359583569237782,331,335,Low,Low,75,3.0,originated_at,4.0
13,0.022626262626262626,0.01930379746835443,0.030929904827550245,100,112,Low,Low,32,0.0,part_of_mismatch,0.0
13,0.022626262626262626,0.01930379746835443,0.030929904827550245,100,112,Low,Low,32,2.0,part_of_manifest,6.25
13,0.022626262626262626,0.01930379746835443,0.030929904827550245,100,112,Low,Low,25,15.0,originated_at,60.0
13,0.022626262626262626,0.01930379746835443,0.030929904827550245,100,112,Low,Low,4,0.0,owns,0.0
14,0.009274287039183864,0.0077626358461273075,0.012632539305943172,228,240,Low,Low,65,0.0,part_of,0.0
14,0.009274287039183864,0.0077626358461273075,0.012632539305943172,228,240,Low,Low,53,1.0,originated_at,1.8867924528301887
14,0.009274287039183864,0.0077626358461273075,0.012632539305943172,228,240,Low,Low,17,0.0,owns,0.0
15,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,0.0,originated_at,0.0
15,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,0.0,part_of_mismatch,0.0
15,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,1.0,part_of_manifest,100.0
16,0.0023327444852108527,0.0019649207401603278,0.0031852614299487845,892,927,Low,Low,259,0.0,part_of_mismatch,0.0
16,0.0023327444852108527,0.0019649207401603278,0.0031852614299487845,892,927,Low,Low,259,2.0,part_of_manifest,0.7722007722007722
16,0.0023327444852108527,0.0019649207401603278,0.0031852614299487845,892,927,Low,Low,230,45.0,originated_at,19.565217391304348
17,0.002426627315953435,0.002028509469913979,0.003306705463274324,856,888,Low,Low,258,1.0,part_of_mismatch,0.3875968992248062
17,0.002426627315953435,0.002028509469913979,0.003306705463274324,856,888,Low,Low,258,0.0,part_of_manifest,0.0
17,0.002426627315953435,0.002028509469913979,0.003306705463274324,856,888,Low,Low,219,24.0,originated_at,10.95890410958904
17,0.002426627315953435,0.002028509469913979,0.003306705463274324,856,888,Low,Low,1,0.0,owns,0.0
18,0.08333333333333333,0.08947368421052632,0.12055007783742214,25,25,Low,Low,9,0.0,part_of,0.0
18,0.08333333333333333,0.08947368421052632,0.12055007783742214,25,25,Low,Low,8,4.0,originated_at,50.0
19,0.0022261661237862407,0.0018505640550146808,0.0030291131577630847,918,937,Low,Low,258,1.0,part_of_mismatch,0.3875968992248062
19,0.0022261661237862407,0.0018505640550146808,0.0030291131577630847,918,937,Low,Low,258,2.0,part_of_manifest,0.7751937984496124
19,0.0022261661237862407,0.0018505640550146808,0.0030291131577630847,918,937,Low,Low,222,20.0,originated_at,9.00900900900901
20,0.010637309550353028,0.008506316257220847,0.014315932086313467,208,229,Low,Low,72,2.0,part_of_mismatch,2.7777777777777777
20,0.010637309550353028,0.008506316257220847,0.014315932086313467,208,229,Low,Low,72,25.0,part_of_manifest,34.72222222222222
20,0.010637309550353028,0.008506316257220847,0.014315932086313467,208,229,Low,Low,61,7.0,originated_at,11.475409836065573
20,0.010637309550353028,0.008506316257220847,0.014315932086313467,208,229,Low,Low,3,0.0,owns,0.0
21,0.009296585767174003,0.007960965588084233,0.012740299664432438,221,226,Low,Low,66,0.0,part_of,0.0
21,0.009296585767174003,0.007960965588084233,0.012740299664432438,221,226,Low,Low,58,14.0,originated_at,24.137931034482758
22,0.0625,0.05413105413105413,0.08539460760117096,32,31,Low,Low,8,0.0,part_of,0.0
22,0.0625,0.05413105413105413,0.08539460760117096,32,31,Low,Low,6,0.0,originated_at,0.0
22,0.0625,0.05413105413105413,0.08539460760117096,32,31,Low,Low,5,0.0,owns,0.0
23,0.010029444239970556,0.008839463929284289,0.013851506932172356,209,218,Low,Low,69,0.0,part_of,0.0
23,0.010029444239970556,0.008839463929284289,0.013851506932172356,209,218,Low,Low,55,9.0,originated_at,16.363636363636363
24,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,0.0,originated_at,0.0
24,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,0.0,part_of_mismatch,0.0
24,0.5,0.3333333333333333,0.6249387366082999,4,3,,,1,1.0,part_of_manifest,100.0
25,0.011623376623376624,0.009386973180076629,0.01568107219390273,176,179,Low,Low,55,0.0,part_of,0.0
25,0.011623376623376624,0.009386973180076629,0.01568107219390273,176,179,Low,Low,37,11.0,originated_at,29.72972972972973
25,0.011623376623376624,0.009386973180076629,0.01568107219390273,176,179,Low,Low,6,0.0,owns,0.0
26,0.005210373271615928,0.0042567472092694646,0.007055131540308995,411,439,Low,Low,135,0.0,part_of_mismatch,0.0
